
2025-02-03 22:06:03 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-03 22:06:25 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-04 07:15:25 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-05 21:31:03 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-05 23:11:47 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-06 09:09:01 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-06 12:25:45 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-06 15:43:09 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-06 15:44:28 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-06 16:31:59 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-06 20:16:36 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-06 21:47:57 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-06 21:48:32 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-06 23:31:16 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 09:41:20 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 16:59:14 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 17:00:03 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 17:01:06 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 17:01:07 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 17:01:08 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 17:01:09 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 17:01:11 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 18:26:10 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-07 20:25:42 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-08 12:27:19 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-08 13:16:43 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-08 13:33:16 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-08 13:45:46 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-08 13:45:56 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


